time,open,high,low,close,SPY
1308700800,2.62,2.62,2.62,2.62,128.67
1308787200,2.58,2.58,2.58,2.58,128.30099
1308873600,2.53,2.53,2.53,2.53,126.81
1309132800,2.54,2.54,2.54,2.54,127.94
1309219200,2.57,2.57,2.57,2.57,129.61
1309305600,2.67,2.67,2.67,2.67,130.72
1309392000,2.73,2.73,2.73,2.73,131.97
1309478400,2.72,2.72,2.72,2.72,133.92
1309824000,2.72,2.72,2.72,2.72,133.81
1309910400,2.69,2.69,2.69,2.69,133.97
1309996800,2.68,2.68,2.68,2.68,135.36
1310083200,2.63,2.63,2.63,2.63,134.39999
1310342400,2.57,2.57,2.57,2.57,131.97
1310428800,2.55,2.55,2.55,2.55,131.39999
1310515200,2.55,2.55,2.55,2.55,131.84
1310601600,2.6,2.6,2.6,2.6,130.92999
1310688000,2.57,2.57,2.57,2.57,131.69
1310947200,2.57,2.57,2.57,2.57,130.61
1311033600,2.52,2.52,2.52,2.52,132.73
1311120000,2.56,2.56,2.56,2.56,132.64999
1311206400,2.63,2.63,2.63,2.63,134.49001
1311292800,2.59,2.59,2.59,2.59,134.58
1311552000,2.61,2.61,2.61,2.61,133.83
1311638400,2.58,2.58,2.58,2.58,133.33
1311724800,2.57,2.57,2.57,2.57,130.60001
1311811200,2.56,2.56,2.56,2.56,130.22
1311897600,2.46,2.46,2.46,2.46,129.33
1312156800,2.39,2.39,2.39,2.39,128.78
1312243200,2.33,2.33,2.33,2.33,125.49001
1312329600,2.31,2.31,2.31,2.31,126.17
1312416000,2.2,2.2,2.2,2.2,120.25999
1312502400,2.3,2.3,2.3,2.3,120.08
1312761600,2.13,2.13,2.13,2.13,112.25999
1312848000,2.01,2.01,2.01,2.01,117.48
1312934400,1.98,1.98,1.98,1.98,112.28999
1313020800,2.15,2.15,2.15,2.15,117.33
1313107200,2.04,2.04,2.04,2.04,118.12
1313366400,2.1,2.1,2.1,2.1,120.62
1313452800,2.03,2.03,2.03,2.03,119.59
1313539200,1.98,1.98,1.98,1.98,119.67
1313625600,1.88,1.88,1.88,1.88,114.50999
1313712000,1.87,1.87,1.87,1.87,112.64
1313971200,1.88,1.88,1.88,1.88,112.73
1314057600,1.93,1.93,1.93,1.93,116.44
1314144000,2.06,2.06,2.06,2.06,118.08
1314230400,2.01,2.01,2.01,2.01,116.28
1314316800,1.99,1.99,1.99,1.99,117.97
1314576000,2.08,2.08,2.08,2.08,121.36
1314662400,1.99,1.99,1.99,1.99,121.67999
1314748800,2.03,2.03,2.03,2.03,122.22
1314835200,1.96,1.96,1.96,1.96,120.94
1314921600,1.82,1.82,1.82,1.82,117.85001
1315267200,1.77,1.77,1.77,1.77,116.99001
1315353600,1.84,1.84,1.84,1.84,120.28999
1315440000,1.81,1.81,1.81,1.81,119.03999
1315526400,1.76,1.76,1.76,1.76,115.92
